year,state,district,dem,rep,other
1968,Alabama,1,40593,60318,4703
1968,Alabama,2,37533,60743,11446
1968,Alabama,3,86796,0,8794
1968,Alabama,4,94726,12427,9252
1968,Alabama,5,69110,14582,39193
1968,Alabama,6,34608,69445,12977
1968,Alabama,7,106132,29923,3393
1968,Alabama,8,85528,0,7140
1968,Alaska,1,36785,43577,0
1968,Arizona,1,54594,137761,0
1968,Arizona,2,102301,43235,0
1968,Arizona,3,46072,79667,0
1968,Arkansas,1,80293,36284,0
1968,Arkansas,2,0,0,0
1968,Arkansas,3,59638,121771,0
1968,Arkansas,4,0,0,0
1968,California,1,37756,133597,6262
1968,California,2,127744,78986,3574
1968,California,3,107446,80193,4234
1968,California,4,90126,67225,4670
1968,California,5,95630,31157,4607
1968,California,6,54928,151336,0
1968,California,7,102689,48397,12279
1968,California,8,104768,58887,0
1968,California,9,101329,77847,3
1968,California,10,73720,160563,4320
1968,California,11,40957,166252,2168
1968,California,12,0,143222,11489
1968,California,13,78628,151608,0
1968,California,14,152847,56730,3952
1968,California,15,86386,74058,0
1968,California,16,97476,55188,3392
1968,California,17,77250,73351,1764
1968,California,18,51373,100115,2116
1968,California,19,99069,53842,4101
1968,California,20,57064,136238,3095
1968,California,21,89536,8244,0
1968,California,22,103695,75457,3116
1968,California,23,52202,97232,0
1968,California,24,57972,155443,0
1968,California,25,66263,145245,0
1968,California,26,134642,64505,6622
1968,California,27,62824,162854,0
1968,California,28,65233,173680,4725
1968,California,29,76091,69485,0
1968,California,30,76967,37234,0
1968,California,31,97855,65004,3315
1968,California,32,46404,142401,3991
1968,California,33,59649,123507,3174
1968,California,34,107513,103470,0
1968,California,35,74798,216093,7098
1968,California,36,59011,148854,0
1968,California,37,9613,52547,0
1968,California,38,121749,68887,3665
1968,Colorado,1,91199,82677,25499
1968,Colorado,2,89917,152153,0
1968,Colorado,3,88368,81173,0
1968,Colorado,4,92680,76776,0
1968,Connecticut,1,124966,74615,575
1968,Connecticut,2,106203,89098,1185
1968,Connecticut,3,102636,80696,7131
1968,Connecticut,4,104723,113749,2805
1968,Connecticut,5,110337,85591,3
1968,Connecticut,6,76413,126208,7
1968,Delaware,1,82993,117827,0
1968,Florida,1,116215,21063,0
1968,Florida,2,87313,0,0
1968,Florida,3,103540,27696,0
1968,Florida,4,86251,76974,23
1968,Florida,5,67505,108620,0
1968,Florida,6,84193,51637,4
1968,Florida,7,91539,74896,0
1968,Florida,8,0,117747,0
1968,Florida,9,111539,87074,0
1968,Florida,10,82138,99844,0
1968,Florida,11,99154,30324,1
1968,Florida,12,82362,62032,0
1968,Georgia,1,77403,36118,0
1968,Georgia,2,72830,0,0
1968,Georgia,3,55759,0,3
1968,Georgia,4,58154,78753,0
1968,Georgia,5,63183,79258,1
1968,Georgia,6,97289,0,4
1968,Georgia,7,96505,0,151
1968,Georgia,8,64912,0,1
1968,Georgia,9,83829,0,3
1968,Georgia,10,80674,0,3
1968,Hawaii,1,161954,78733,46123
1968,Idaho,1,62002,90870,0
1968,Idaho,2,54256,65029,4377
1968,Illinois,1,119207,21758,0
1968,Illinois,2,106642,56513,0
1968,Illinois,3,101729,86535,0
1968,Illinois,4,70145,151216,0
1968,Illinois,5,96584,77887,0
1968,Illinois,6,94779,63999,0
1968,Illinois,7,86769,17594,0
1968,Illinois,8,105003,62254,0
1968,Illinois,9,119032,65687,0
1968,Illinois,10,73766,148398,0
1968,Illinois,11,128152,101665,0
1968,Illinois,12,50525,120370,0
1968,Illinois,13,69987,186714,0
1968,Illinois,14,66293,163332,1
1968,Illinois,15,55291,121432,0
1968,Illinois,16,53838,111037,0
1968,Illinois,17,65192,122513,0
1968,Illinois,18,68173,106122,0
1968,Illinois,19,66135,114948,0
1968,Illinois,20,63412,124121,0
1968,Illinois,21,111425,94363,0
1968,Illinois,22,63957,115258,0
1968,Illinois,23,104349,88945,0
1968,Illinois,24,113507,45649,0
1968,Indiana,1,90055,68318,351
1968,Indiana,2,85084,104238,0
1968,Indiana,3,94452,86354,0
1968,Indiana,4,93515,98977,0
1968,Indiana,5,67370,114537,0
1968,Indiana,6,76940,142207,0
