congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
1,President,5000,Pro-Administration,1,,,,
1,House,4000,Anti-Administration,29,0.018,0.092,-0.02437931,0.141931034
1,House,5000,Pro-Administration,37,0.578,0.057,0.527837838,0.025756757
1,Senate,4000,Anti-Administration,9,-0.2375,-0.213,-0.23975,-0.04475
1,Senate,5000,Pro-Administration,20,0.427,-0.3085,0.35205,-0.1662
2,President,5000,Pro-Administration,1,,,,
2,House,4000,Anti-Administration,32,-0.022,-0.079,-0.039096774,-0.122064516
2,House,5000,Pro-Administration,40,0.533,0.0825,0.5304,0.081625
2,Senate,4000,Anti-Administration,14,-0.392,-0.544,-0.361214286,-0.308
2,Senate,5000,Pro-Administration,17,0.446,-0.252,0.386411765,-0.117882353
3,President,5000,Pro-Administration,1,,,,
3,House,4000,Anti-Administration,56,-0.072,-0.151,-0.071981818,-0.162618182
3,House,5000,Pro-Administration,54,0.5895,0.0745,0.563711538,0.051115385
3,Senate,4000,Anti-Administration,15,-0.37,-0.548,-0.376933333,-0.432
3,Senate,5000,Pro-Administration,18,0.5705,-0.179,0.5735,0.003888889
4,President,1,Federalist,1,,,,
4,House,1,Federalist,54,0.6035,0.1375,0.561555556,0.141037037
4,House,13,Democrat-Republican,61,-0.0975,-0.033,-0.11895,6.67E-05
4,Senate,1,Federalist,29,0.6185,-0.046,0.57525,0.031178571
4,Senate,13,Democrat-Republican,14,-0.37,-0.462,-0.392769231,-0.349692308
5,President,1,Federalist,1,,,,
5,House,1,Federalist,64,0.622,-0.0165,0.596921875,0.02621875
5,House,13,Democrat-Republican,53,-0.108,-0.042,-0.138150943,-0.076113208
5,Senate,1,Federalist,31,0.717,-0.043,0.595290323,0.035
5,Senate,13,Democrat-Republican,14,-0.364,0.023,-0.320769231,-0.152
6,President,1,Federalist,1,,,,
6,House,1,Federalist,64,0.624,-0.0705,0.591875,-0.04340625
6,House,13,Democrat-Republican,50,-0.068,-0.105,-0.101938776,-0.162244898
6,Senate,1,Federalist,27,0.625,0.036,0.573,0.077481481
6,Senate,13,Democrat-Republican,11,-0.277,0.023,-0.317181818,-0.107
7,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
7,House,1,Federalist,40,0.622,-0.1705,0.6072,-0.031925
7,House,13,Democrat-Republican,74,-0.052,0.057,-0.084232877,-0.02539726
7,Senate,1,Federalist,16,0.689,-0.1075,0.6685,-0.1065
7,Senate,13,Democrat-Republican,20,-0.232,-0.22,-0.268684211,-0.241631579
8,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
8,House,1,Federalist,40,0.615,-0.248,0.599102564,-0.219564103
8,House,13,Democrat-Republican,110,-0.098,0.066,-0.106027523,0.052733945
8,Senate,1,Federalist,10,0.6665,-0.329,0.6515,-0.1751
8,Senate,13,Democrat-Republican,34,-0.2125,-0.22,-0.240176471,-0.298411765
9,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
9,House,1,Federalist,29,0.6075,-0.3695,0.569035714,-0.378357143
9,House,13,Democrat-Republican,120,-0.1035,0.0685,-0.090228814,0.037262712
9,Senate,1,Federalist,7,0.646,-0.409,0.658571429,-0.238142857
9,Senate,13,Democrat-Republican,30,-0.1255,-0.164,-0.111766667,-0.165033333
