"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
2,36494,0,0,1,100,0
4,101845,17975,0,0.849983308295777,84.9983308295777,15.0016691704223
6,57218,67395,1961,0.459165576625232,45.2051764185378,53.2455322578097
8,70557,10911,0,0.866070113418766,86.6070113418766,13.3929886581234
10,77773,54988,0,0.585812098432522,58.5812098432522,41.4187901567478
12,77532,52033,0,0.598402346312662,59.8402346312662,40.1597653687338
14,46444,40360,0,0.535044467996867,53.5044467996867,46.4955532003134
16,57845,68344,0,0.45839970203425,45.839970203425,54.160029796575
18,61429,42828,0,0.589207439308632,58.9207439308632,41.0792560691368
20,36419,76446,0,0.322677535108315,32.2677535108315,67.7322464891685
22,54127,35480,0,0.604048790831073,60.4048790831073,39.5951209168927
24,58053,62893,0,0.479991070395052,47.9991070395052,52.0008929604948
26,66404,44195,0,0.600403258618975,60.0403258618975,39.9596741381025
28,37316,75419,0,0.331006342307181,33.1006342307181,66.8993657692819
30,24049,76863,0,0.238316553036309,23.8316553036309,76.1683446963691
32,25477,76852,0,0.248971454817305,24.8971454817305,75.1028545182695
34,42598,74238,0,0.364596528467253,36.4596528467253,63.5403471532747
36,0,91710,0,0,0,100
38,70854,56139,0,0.557936264203539,55.7936264203539,44.2063735796461
40,43557,53795,0,0.44741761853891,44.741761853891,55.258238146109
42,85905,0,0,1,100,0
44,70790,56343,0,0.556818449969717,55.6818449969717,44.3181550030283
46,0,78289,0,0,0,100
48,34264,74127,0,0.316114806579882,31.6114806579882,68.3885193420118
50,30434,75842,0,0.286367571229629,28.6367571229629,71.3632428770372
